INFO 2020-08-02 09:46:45,759 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:37:15,781 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:39:37,789 autoreload 578 Watching for file changes with StatReloader
WARNING 2020-08-02 13:39:41,508 log 222 Not Found: /
WARNING 2020-08-02 13:39:41,509 basehttp 154 "GET / HTTP/1.1" 404 2103
INFO 2020-08-02 13:39:54,571 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:39:54,598 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4280
INFO 2020-08-02 13:39:54,617 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
WARNING 2020-08-02 13:39:58,472 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2020-08-02 13:40:51,232 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:40:53,718 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:40:53,753 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:40:53,761 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4278
INFO 2020-08-02 13:40:53,761 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:40:53,795 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:40:53,808 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:40:53,830 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:40:53,842 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:40:53,853 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-02 13:40:53,866 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:40:53,912 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:40:53,918 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2020-08-02 13:41:12,789 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:41:15,609 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:41:15,647 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:41:15,648 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:41:15,649 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:41:15,649 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:41:15,649 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4276
INFO 2020-08-02 13:41:15,651 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:41:15,655 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:41:15,663 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-02 13:41:15,664 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:41:15,664 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:41:15,708 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2020-08-02 13:42:19,016 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:42:19,852 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:42:19,881 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
